FIPS,city,name,State,area_land,pop_white,pop_black,pop_native,pop_asian,pop_hawaiian,pop_other_race,pop_two_races,average_household_size,pop_over_25,educ_less_hs,educ_hs,educ_some_college,educ_ba,educ_ma,educ_prof_school,educ_doctorate,hs_droput,hs_enrolled,pop_16_over,labor_force,unemployed,not_in_labor_force,total_employed,total_households,income_less_10000,"income_$10,000_$14,999","income $15,000 to $19,999","income $20,000 to $24,999","income $25,000 to $29,999","income $30,000 to $34,999","income$35,000 to $39,999","income $40,000 to $44,999","income$45,000 to $49,999","income $50,000 to $59,999","income $60,000 to $74,999","income $75,000 to $99,999","income $100,000 to $124,999","income $125,000 to $149,999","income  $150,000 to $199,999","income $200,000 or More",median_household_income,median_income_black,median_income_black,median_income_asian,median_income_pacific_island,median_income_other_race,median_income_two_races,median_income_hispanic,median_income_white,per_capita_income,gini_index,Owner Occupied Housing Units,owner_housing_white,owner_housing_non_white,Median Gross Rent,avg_rent,paying_30_home,paying_at_least_50,avg_commute,poverty_overall,poverty_male,poverty_female
10980,Alpena,"Alpena, MI Micro Area",MI,571.8651361,27720,149,152,141,20,31,399,2.21,21069,1765,7050,8577,2343,990,279,65,58,1290,23893,13364,800,10529,12522,12717,1007,826,977,952,724,734,804,745,621,1042,1144,1358,868,452,288,175,41991,7917,40870,87045,,,43409,40000,41923,25115,0.4391,9859,9659,200,573,534.9195241,1740,723,17,4033,1790,2243
11020,Altoona,"Altoona, PA Metro Area",PA,525.8013304,118279,2008,42,866,55,462,2130,2.34,88518,8029,40191,21878,12371,4656,810,583,304,5758,101507,59618,2956,41889,56627,51625,3718,3396,3029,2799,3150,2855,2967,2588,2361,3957,5652,6952,3749,1765,1446,1241,47969,28387,,85911,,,,19185,48568,26648,0.4448,36221,35527,694,711,703.0771228,6269,2511,20,17645,7922,9723
11060,Altus,"Altus, OK Micro Area",OK,802.6507984,17963,1764,413,345,20,3070,1809,2.51,16206,2784,4480,5559,2145,1030,65,143,57,1083,19377,12209,570,7168,10559,9868,868,505,602,666,531,617,596,480,487,688,1084,1245,724,253,370,152,45757,32424,38550,,,28932,26505,30847,53108,23226,0.4334,5607,4282,1325,725,696.1511382,942,374,15,4263,1776,2487
11100,Amarillo,"Amarillo, TX Metro Area",TX,5150.182836,222362,15995,1327,8709,188,6113,8718,2.62,169856,24883,45076,58962,27883,9234,2195,1623,744,13761,202357,132337,4592,70020,127557,96613,5726,4327,4594,5040,5078,5981,4456,4678,3805,8218,10642,12085,8201,5070,4645,4067,54912,34698,48304,52825,,46014,41974,43819,61944,28397,0.4573,61727,45946,15781,838,860.0756751,10670,3847,19,34818,15221,19597
11140,Americus,"Americus, GA Micro Area",GA,649.7780098,16378,17532,23,359,0,732,539,2.46,22465,4217,7535,6725,2133,1168,438,249,47,2212,28194,15546,1516,12648,14014,13635,1818,905,1198,844,855,853,754,770,437,1051,1173,1182,763,528,296,208,36809,26790,,34157,,25646,25778,36442,50104,20249,0.4778,7870,4713,3157,685,648.5169124,1635,724,20,8971,3523,5448
11180,Ames,"Ames, IA Metro Area",IA,572.7036635,83892,1828,217,7477,25,608,2875,2.32,50291,1474,9002,14101,14139,7043,825,3707,139,11251,82546,54271,2330,28275,51875,37219,3754,1629,2305,1912,1675,1517,1568,1572,1410,2624,3546,4632,3486,2125,1687,1777,54554,39107,78309,27750,,49875,27424,50938,58748,28034,0.4643,19638,18455,1183,885,936.9660429,2998,1027,18,18527,10110,8417
11220,Amsterdam,"Amsterdam, NY Micro Area",NY,403.1165179,43412,1007,71,420,0,3059,1457,2.46,34213,4852,12028,11357,3407,2101,353,115,112,2151,39377,23357,1801,16020,21536,19665,1470,1278,1248,1401,1357,963,1034,968,754,1676,2112,2123,1395,710,789,387,45837,35517,,35982,,27156,,26819,49543,25427,0.4576,13375,12607,768,749,699.5707472,3132,1179,25,9649,4314,5335
11260,Anchorage,"Anchorage, AK Metro Area",AK,26420.1938,272449,17560,27764,29882,7116,7297,37508,2.84,258415,16935,67134,92554,51184,21425,6304,2879,666,19093,308866,215547,13518,93319,193201,137403,5086,3430,3816,4321,4648,3946,4368,5398,4075,9122,15126,19070,16334,11814,13955,12894,81745,56681,61139,68208,62398,66735,68231,67291,89713,37536,0.4244,88571,69996,18575,1276,1319.452408,20953,7103,22,36974,17439,19535
11380,Andrews,"Andrews, TX Micro Area",TX,1500.721356,16464,353,0,63,21,698,219,3.22,10610,2695,3898,2914,705,287,47,64,101,1092,12916,8625,404,4291,8221,5508,302,171,146,145,291,234,121,349,216,267,574,728,768,446,398,352,74233,36500,,,,85046,96047,73945,75489,31190,0.4506,4024,2074,1950,1000,950.2695418,463,123,23,1835,764,1071
11420,Angola,"Angola, IN Micro Area",IN,308.7772144,33484,93,35,140,14,92,616,2.34,23651,2340,9048,7384,3119,1374,185,201,144,1838,28127,17940,680,10187,17250,14156,385,505,571,893,596,956,903,695,675,1445,1734,2074,1116,711,556,341,56101,,58125,45972,,,47188,48797,56817,28429,0.3964,10969,10603,366,766,670.4424223,1775,695,21,3613,1482,2131
